"","province","year","population","Jan_rain","Jan_temp","dry_season_temp","pre_season_rate","dengue_rate"
"1","Mae Hong Son",2000,210537,34.1541544198991,22.0800033569336,22.5120010375977,0,0.47497589497333
"2","Mae Hong Son",2001,210399,2.01503272354603,22.1199966430664,23.9054992675781,0.47497589497333,29.9431080946202
"3","Mae Hong Son",2002,210260,14.1043195128441,21.8524948120117,23.0614990234375,0,13.3168458099496
"4","Mae Hong Son",2003,210121,9.31758257746696,21.0600067138672,23.2229995727539,0.475601636069628,16.6570690221349
"5","Mae Hong Son",2004,209983,5.37756785750388,21.3174987792969,23.185498046875,0.475916257775282,23.3352223751447
"6","Mae Hong Son",2005,209844,1.69486834853888,22.1999984741211,23.0334976196289,0,8.57780065191285
"7","Mae Hong Son",2006,209706,5.94559346139432,22.5999923706055,23.6234970092774,0,6.19915500748667
"8","Mae Hong Son",2007,209568,3.99908339977266,21.0699935913086,22.8370010375977,0,29.1074973278363
"9","Mae Hong Son",2008,209430,23.6911008358002,21.8449951171875,23.3300003051758,0.477172087341579,43.9287590125579
"10","Mae Hong Son",2009,209291,0.0689995964057742,22.725,22.978500366211,3.81989208804851,82.6600283815358
"11","Mae Hong Son",2010,209154,0.447517097927629,22.0099960327149,24.0894989013672,1.43341089678964,109.010585501592
"12","Mae Hong Son",2011,209016,0.660543184727431,22.1075073242188,22.6744995117188,1.43434980923148,25.8353427488805
"13","Mae Hong Son",2012,208878,3.43674930930139,22.6699996948242,23.5510009765625,0,31.5973917789332
"14","Mae Hong Son",2013,208740,9.33164113759995,23.9875045776367,24.271501159668,1.91499344114746,182.044648845454
"15","Mae Hong Son",2014,208602,0.731702519580722,22.0925003051758,22.9505004882813,2.39532432691386,72.3866501759331
"16","Chiang Mai",2000,1500127,34.1541544198991,21.1929992675782,21.7977996826172,0.134477286786262,4.33296647550507
"17","Chiang Mai",2001,1522286,2.01503272354603,22.1070068359375,23.3140020751953,1.5332035221018,58.8588478117778
"18","Chiang Mai",2002,1544773,14.1043195128441,21.3920043945313,22.3750012207032,0.0656906783613592,27.5768672808238
"19","Chiang Mai",2003,1567591,9.31758257746696,20.6589996337891,22.2276007080078,1.42415746520686,74.7006074926432
"20","Chiang Mai",2004,1590747,5.37756785750388,21.1440002441407,22.6152001953125,0.446545049059353,31.2431832340404
"21","Chiang Mai",2005,1614244,1.69486834853888,22.2120025634766,22.2153997802735,0.502908382036867,23.4784828068124
"22","Chiang Mai",2006,1638089,5.94559346139432,22.1010009765625,22.5107995605469,0.49558802758443,26.3721934522483
"23","Chiang Mai",2007,1662285,3.99908339977266,20.668002319336,22.1042004394532,0.18314023230728,19.009977230138
"24","Chiang Mai",2008,1686840,23.6911008358002,21.6490020751954,22.8278002929688,1.68442836216413,110.739607787342
"25","Chiang Mai",2009,1711757,0.0689995964057742,22.4730010986328,22.4896002197266,4.50546584145503,38.9658111519334
"26","Chiang Mai",2010,1737042,0.447517097927629,21.9919982910156,23.52419921875,3.03781436266947,126.479382766796
"27","Chiang Mai",2011,1762700,0.660543184727431,21.1349975585938,21.6975994873047,1.32409003351675,12.2539286322119
"28","Chiang Mai",2012,1788737,3.43674930930139,21.7480041503907,22.5234008789063,0.85096726612583,30.9156684297356
"29","Chiang Mai",2013,1815160,9.33164113759995,22.9420013427735,23.2316009521485,4.4165240613908,136.296524824258
"30","Chiang Mai",2014,1841972,0.731702519580722,20.9730010986328,21.7562005615235,0.385640935234359,8.68634268056192
"31","Chiang Rai",2000,1129701,37.5829926133154,20.0824981689453,20.2975006103516,0,2.12445594011159
"32","Chiang Rai",2001,1133952,1.09180788742379,21.0850082397461,22.1340042114258,0.177037995009299,29.7190710012417
"33","Chiang Rai",2002,1138218,9.17183368653058,20.8399978637696,21.4719985961915,0,17.9227529348508
"34","Chiang Rai",2003,1142500,17.9002938121557,20.5500045776367,21.7160018920898,0.351426528134329,22.8446389496718
"35","Chiang Rai",2004,1146798,18.875183865428,20.3375030517578,21.5189987182617,0.087527352297593,6.80154656705017
"36","Chiang Rai",2005,1151112,1.99706479907036,21.5074935913086,21.2829971313477,0.174398629924363,5.55984126653184
"37","Chiang Rai",2006,1155443,8.86833203583955,21.417497253418,21.6220001220703,0.17374503957912,3.28878187846566
"38","Chiang Rai",2007,1159790,5.43450470268725,19.8000045776367,21.1529983520508,0,27.5912018555083
"39","Chiang Rai",2008,1164153,28.0282160639763,20.1875015258789,21.4524993896484,0.258667517395391,44.1522720810753
"40","Chiang Rai",2009,1168532,1.21316656493582,20.9725051879883,20.9970016479493,0.773094258228944,33.3752092368887
"41","Chiang Rai",2010,1172928,2.00783181982115,20.5225006103516,21.8469970703125,1.36923935330825,87.4733999017842
"42","Chiang Rai",2011,1177341,4.12685148976743,21.6675048828125,21.8395004272461,1.36410760080755,15.4585629821776
"43","Chiang Rai",2012,1181770,2.95984058082104,22.3149963378906,22.7390014648438,0.254811477728203,42.6478925679278
"44","Chiang Rai",2013,1186216,10.5531163215637,23.3350006103516,23.4669998168945,7.10798209465463,197.181626280543
"45","Chiang Rai",2014,1190679,1.4317634915933,21.3175064086914,21.9149993896484,0,1.25978538296216
"46","Nan",2000,458041,41.011830806732,21.5900004069011,22.542665608724,0.218744189607464,3.92977921190461
"47","Nan",2001,457516,0.168583051301539,22.2033325195313,23.5593363444011,0.218321067328034,19.2343000026229
"48","Nan",2002,456991,4.23934786021711,23.3000020345052,23.7413309733073,0,19.2563967342902
"49","Nan",2003,456467,26.4830050468445,22.4199971516927,23.4139994303386,0.656468070487165,19.9357237215396
